"customerid","recency_days","frequency","monetary","r_score","f_score","m_score","customer_segment"
"12346",325,"9","77364.60",1,5,5,"At Risk"
"12347",2,"7","4310.00",5,5,5,"Champions"
"12348",75,"4","1797.24",3,4,4,"Loyal Customers"
"12349",18,"1","1757.55",4,1,4,"New Customers"
"12350",310,"1","334.40",1,2,2,"Lost Customers"
"12351",375,"1","300.93",1,2,2,"Lost Customers"
"12352",36,"10","2849.84",4,5,5,"Champions"
"12353",204,"1","89.00",2,1,1,"Lost Customers"
"12354",232,"1","1079.40",2,2,4,"Lost Customers"
"12355",214,"1","459.40",2,1,2,"Lost Customers"
"12356",22,"4","3159.33",4,4,5,"Champions"
"12357",33,"3","18287.66",4,4,5,"Champions"
"12358",1,"4","3618.97",5,4,5,"Champions"
"12359",57,"6","7148.92",3,5,5,"Loyal Customers"
"12360",52,"5","3472.85",3,4,5,"Loyal Customers"
"12361",287,"1","189.90",1,1,1,"Lost Customers"
"12362",3,"11","5356.23",5,5,5,"Champions"
"12363",109,"2","552.00",2,3,3,"At Risk"
"12364",7,"4","1313.10",5,4,4,"Champions"
"12365",291,"2","641.38",1,3,3,"At Risk"
"12367",4,"1","168.90",5,1,1,"New Customers"
"12370",51,"4","3541.94",3,4,5,"Loyal Customers"
"12371",44,"2","1887.96",3,3,4,"Loyal Customers"
"12372",71,"3","1298.04",3,4,4,"Loyal Customers"
"12373",311,"1","364.60",1,2,2,"Lost Customers"
"12374",25,"1","742.93",4,2,3,"New Customers"
"12375",10,"2","457.50",5,3,2,"Loyal Customers"
"12376",389,"1","70.60",1,1,1,"Lost Customers"
"12377",315,"3","2215.36",1,4,5,"At Risk"
"12378",129,"1","4008.62",2,1,5,"Lost Customers"
"12379",81,"2","852.24",3,2,3,"Promising"
"12380",21,"4","2724.81",4,4,5,"Champions"
"12381",4,"5","1845.31",5,4,4,"Champions"
"12383",184,"5","1850.56",2,4,4,"At Risk"
"12384",28,"2","585.27",4,3,3,"Loyal Customers"
"12385",379,"1","1938.40",1,1,4,"Lost Customers"
"12386",337,"2","401.90",1,3,2,"At Risk"
"12388",15,"6","2780.66",5,5,5,"Champions"
"12390",79,"1","549.84",3,1,3,"Promising"
"12391",21,"1","439.66",4,1,2,"New Customers"
"12393",72,"5","2095.65",3,4,4,"Loyal Customers"
"12394",63,"2","1272.48",3,3,4,"Loyal Customers"
"12395",19,"12","3018.63",4,5,5,"Champions"
"12397",35,"2","2409.90",4,3,5,"Loyal Customers"
"12398",45,"1","1635.66",3,1,4,"Promising"
"12399",119,"5","1422.85",2,4,4,"At Risk"
"12401",303,"1","84.30",1,1,1,"Lost Customers"
"12402",323,"2","381.25",1,3,2,"At Risk"
"12403",49,"1","427.70",3,1,2,"Promising"
"12405",148,"1","1710.39",2,1,4,"Lost Customers"
"12406",22,"3","4296.50",4,4,5,"Champions"
"12407",49,"5","1708.12",3,4,4,"Loyal Customers"
"12408",32,"6","3831.61",4,5,5,"Champions"
"12409",78,"3","11072.67",3,4,5,"Loyal Customers"
"12410",308,"2","693.33",1,3,3,"At Risk"
"12412",74,"3","1226.88",3,4,4,"Loyal Customers"
"12413",66,"3","758.10",3,3,3,"Loyal Customers"
"12414",217,"3","562.41",2,3,3,"At Risk"
"12415",24,"22","141469.41",4,5,5,"Champions"
"12417",3,"12","4371.25",5,5,5,"Champions"
"12418",112,"1","668.58",2,1,3,"Lost Customers"
